taxon	Bact_total	Lumbricina	Formicidae	Coleoptera	Araneae	Diplopoda	Larvas	Enchytraeidae	Macrofauna	Oribatida	Mesostigmata	Prostigmata	Collembola	Mesofauna	Fauna Total	COT	COPg	COM	Nt	Pt	CHt	Temp - suelo (?C)	Tem -aire (?C)	Porosidad (%)	HT	PT	PF	Vmax	nifH_(qPCR)	Acaulospora alpina	A. bireticulata	A. delicata	A. denticulata	A. excavata	A. laevis	A. mellea	A. rehmii	A. scrobiculata	A. spinosa	Ambispora leptoticha	Archaeospora trappei	Claroideoglomus claroideum	C. etunicatum	C. luteum	Entrophospora infrequens	Septoglomus constrictum	Funneliformis coronatum	F. geosporus	F. mosseae	Gigaspora decipiens	G. gigantea	G. margarita	G. rosea	G. aggregatum	G. microagregatum	Glomus sp. 1	Glomus sp. 2	Glomus sp. 3	Pacispora boliviana	Pacispora sp. 1	Rhizophagus clarus 	111: 20:4 w6	unclassified	MC18	Bradyrhizobium	CandidatusSolibacter	Methylobacterium	Phenylobacterium	CandidatusEntotheonella	Acidisoma	A17	A.Azucar	A.ProteinasyAA	Aerobios	AerobiosObligados	Anaerobios	AnaerobiosFacultativos	FdCPolypeptona	Fermentadores	H.Aerobicos	M.AGrasosdeCCorta	O.Metano	O.Sulfuro	QuimioHeterotrofos	COT	pH	Nt	Pe	Humedad_Vol_aut	Temp_suelo	Temp_aire	Taire-Tsuelo	Humedad_gravimetrica	Densidad	Porosidad	Acidicapsa	Acidobacterium	Aliidongia	Amphritea	Anaeroglobus	Arenimicrobium	Brevitalea	Calditerricola	Cavicella	Chthoniobacter	Cryptanaerobacter	Desulfospira	Gemmata	Gemmatimonas	Gemmatirosa	Heliobacterium	Limisphaera	Luteimonas	Luteitalea	Lysobacter	Modestobacter	Paludibaculum	Pelobacter	Prevotella	Reyranella	Rhodoplanes	Solirubrobacter	Sphingomonas	Tellurimicrobium	Thermodesulfobium	Thermovenabulum	Vicinamibacter
MPZ22	45	640	0	240	240	80	80	320	1600	45837	30558	15279	10186	106952	108552	1	5	2	2	1	6	1	24	6	3979	9	174	8	3	4	0	21	0	610	17	54	83	0	85	0	8	5	8	71	535	79	476	28	0	43	0	50	37	0	85	176	4	2	52	0	0	0	1007	73	20	8	2	5	6	3	7	41	3	79	2	42	2	41	14	157	12	38	1	0	1871	2	0	52	39	1	43	30	38	13	58	7	1	4	0	3	14	45	8	1	96	6	2	8	36	1	87	1	0	11	9	92	2	2	4	6	16	4	12	0	13	6	23
MPZ24	28	0	0	80	0	0	160	80	320	387064	86580	40744	50929	651897	652217	2	0	0	1	6	3	9	5	6	540	2	9	7	46	203	17	0	65	0	0	65	368	59	23	28	0	0	21	99	0	763	69	684	8	0	0	36	86	1	25	22	2	51	0	0	0	6	1019	60	20	7	19	2	9	2	4	35	6	85	3	43	3	42	21	144	24	43	1	2	1	7	0	24	48	75	5	5	23	5	58	6	2	0	3	3	15	31	12	1	87	6	2	13	41	2	71	0	2	20	4	115	0	2	3	6	10	2	13	4	16	13	33
MPZ32	53	320	80	320	80	80	240	560	1680	402344	35651	35651	81487	611155	612835	1	6	2	2	2	6	1	13	3	4127	8	155	4	3	4	0	21	0	610	17	54	83	0	85	0	8	5	8	71	535	79	476	28	0	43	0	50	37	0	85	176	4	2	52	0	0	14	984	82	30	3	10	4	7	1	4	49	5	91	0	47	0	45	10	146	23	46	2	3	7865	6	3271648873	15	33	26	23	6	38	1	48	17	3	1	2	1	22	29	2	1	77	4	9	16	43	2	85	0	4	24	5	84	1	5	7	2	19	1	9	4	15	5	24
MPZ34	29	80	0	80	160	160	0	80	560	300484	101859	61115	280112	769035	769595	1	8	2	2	4	6	1	8	3312	1	470	9	2	68	431	75	0	65	0	0	65	368	59	23	28	0	0	21	99	0	763	69	684	8	0	0	36	86	1	25	22	2	51	0	4	41	6	964	68	35	25	8	1	14	7	3	45	4	119	1	47	2	44	11	156	21	74	3	0	1426	5	2937375349	6	26	14	-5	6	75	0	14	11	5	0	0	1	33	20	7	0	71	7	4	13	22	0	79	0	2	22	2	99	1	2	2	5	21	1	16	4	29	14	23
NAF12	971	640	23600	1120	80	640	1200	80	27360	331042	101859	25465	40744	519482	546842	1	5	5	3	8	6	1	47	6	3247	5	173	26	32	0	74	266	67	27	97	0	7	1	4	30	7	91	6	0	0	6	99	3	5	522	3	1218	71	0	39	0	0	15	38	2	24	0	1005	72	35	6	2	5	9	6	2	49	3	108	8	53	9	51	17	180	16	56	2	1	1453	8	0	4	9	1	45	33	42	99	62	9	3	11	1	2	27	19	2	0	48	1	2	15	22	5	119	2	6	18	3	57	1	4	5	2	24	5	11	10	24	5	16
NAF14	980	640	52080	160	160	0	240	80	53440	346320	218997	81487	50929	723198	776638	1	6	4	4	7	6	1	21	3	339	7	17	7	488	89	11	94	0	2	65	16	58	0	66	0	2	65	0	0	66	190	38	1691	51	0	0	6	63	0	32	4	7	0	1	17	0	9	984	53	52	14	2	3	1	3	10	37	2	97	5	46	6	45	12	148	15	51	1	2	83	6	0	9	82	38	6	6	74	94	49	4	5	1	3	8	9	40	4	0	44	1	1	15	25	7	110	3	8	13	2	53	0	6	13	3	15	3	4	9	26	14	31
NAF24	1001	0	6400	80	160	0	1600	480	8800	427807	142602	91673	20372	758849	767649	1	4	3	4	7	6	1	17	2592	6	294	2	14	15	526	98	11	94	0	2	65	16	58	0	66	0	2	65	0	0	66	190	38	1691	51	0	0	6	63	3	32	4	7	0	0	0	85	982	102	25	1	6	7	8	2	11	53	5	77	2	47	2	46	19	175	16	31	1	1	2	7	0	12	8	19	16	33	5	25	56	6	2	5	3	5	39	36	6	1	67	3	6	24	32	6	110	3	6	16	1	83	0	2	5	3	16	4	12	4	6	15	31
NAF32	951	160	42000	240	160	0	2960	720	46320	86580	106952	71301	10186	300485	346805	1	6	6	5	5	6	1	45	4	6127	375	1	30	48	0	64	285	71	27	97	0	7	1	4	30	7	91	6	0	0	6	99	3	5	522	3	1218	71	0	39	0	0	15	38	2	24	46	1002	53	42	11	6	10	2	4	4	58	3	91	3	51	3	49	14	174	13	42	2	3	8425	6	101053453	7	13	44	12	9	10	1	39	12	4	5	2	3	24	21	1	0	71	3	2	14	28	5	105	2	3	16	1	49	1	3	8	3	18	3	5	3	18	13	25
NAF34	1042	80	48080	0	0	0	720	1440	50320	488923	361599	40744	76394	1074612	1124932	2	1	6	5	6	1	24	6	9	486	9	15	6	26	558	73	11	94	0	2	65	16	58	0	66	0	2	65	0	0	66	190	38	1691	51	0	0	6	63	3	32	4	7	0	1	15	3	1006	79	26	9	3	3	8	5	9	38	3	99	1	59	1	59	13	141	17	40	0	0	86	5	1060855909	32	7	92	4	8	7	1	74	9	2	5	4	2	15	37	10	1	71	2	8	12	39	4	104	1	9	17	3	83	0	3	0	0	17	10	7	4	10	11	58
NALL12	923	2080	880	80	0	0	160	240	3440	443087	66208	112045	402344	1038964	1042404	3	2	7	5	6	3	435	6	6938	4	692	5	41	72	1	1	488	89	54	83	0	2	35	283	57	3	92	1	57	1	57	6	27	10	18	389	32	954	88	51	7	0	0	166	85	1	92	764	160	28	27	6	10	0	14	14	55	5	127	0	78	0	76	19	262	13	51	2	2	2	7	0	12	5	20	20	5	12	11	61	13	3	0	3	3	0	18	0	5	39	1	1	15	53	1	41	4	0	1	0	2	0	3	0	0	36	4	1	2	17	2	18
NALL14	954	0	13120	160	160	0	560	0	14080	519481	106952	152788	10186	1247772	1261852	3	5	6	5	4	5	3	411	4105	4	1285	1	12	2	266	67	0	73	0	0	174	39	0	73	0	7	27	12	35	5	9	433	7	1231	62	0	0	27	61	0	31	24	2	29	0	0	7	761	129	66	24	13	13	1	7	4	62	4	115	3	66	3	65	13	211	13	50	1	0	2482	1	0	6	2	28	31	35	8	94	50	11	4	0	3	6	0	19	0	1	80	1	9	15	41	0	17	3	4	10	0	8	2	1	1	2	16	6	2	5	19	3	24
NALL22	1011	2480	3360	480	0	0	240	160	6800	860710	911640	290299	1344541	3442840	3449640	2	8	7	4	7	6	2	384	4	5919	5	275	4	29	0	94	501	59	54	83	0	2	35	283	57	3	92	1	57	1	57	6	27	10	18	389	32	954	88	51	7	0	0	166	85	1	2	875	130	26	21	7	3	0	4	7	46	5	126	2	74	4	74	15	208	21	50	0	0	2415	6	1173652695	9	9	4	27	3	13	1	52	5	2	2	10	3	5	36	0	1	60	7	5	15	81	3	41	5	12	14	0	17	2	0	8	1	22	11	2	4	16	5	61
NALL24	968	0	0	320	80	0	400	0	880	325949	254647	132417	10186	748663	749543	3	3	4	5	4	5	3	338	4915	9	1451	6	13	96	0	31	387	3	0	73	0	0	174	39	0	73	0	7	27	12	35	5	9	433	7	1231	62	0	0	2	91	0	31	24	2	29	3	856	103	21	17	13	15	0	14	2	57	5	157	1	89	2	88	18	205	12	68	1	2	3735	5	968379447	2	6	2	21	8	17	1	27	9	2	2	2	0	1	41	2	4	72	2	1	15	81	1	34	2	7	5	0	17	1	0	11	9	16	6	5	7	29	3	61
NALL32	915	1760	0	0	0	0	880	880	3520	835245	96766	96766	71301	1125544	1129064	3	2	0	1	6	3	364	8	9503	9	456	6	41	6	1	21	520	63	54	83	0	2	35	283	57	3	92	1	57	1	57	6	27	10	18	389	32	954	88	51	7	0	0	166	85	1	3	845	103	37	28	8	15	0	16	6	53	1	137	1	78	1	78	17	186	9	59	0	2	2634	7	0	13	28	22	97	34	45	2	61	3	7	0	2	3	1	35	0	6	36	1	3	15	48	0	47	6	4	3	0	4	1	2	2	4	27	5	1	6	12	5	33
NALL34	940	0	17200	1680	80	0	1360	0	20400	1405653	86580	61115	10186	1563535	1583935	4	7	4	8	6	5	4	318	1440	4	12	30	8	7	0	73	0	0	174	39	0	73	0	7	27	12	35	5	9	433	7	1231	62	0	0	27	61	2	91	24	2	29	0	0	0	0	NA	828	83	27	29	12	6	0	18	3	73	1	133	1	64	1	62	21	169	13	71	2	4	1591	1	0	25	54	28	5	0	86	96	56	5	2	2	7	2	12	32	2	2	62	4	5	8	65	2	33	4	2	0	0	33	2	1	1	1	28	3	4	3	27	6	33
NAPE12	1004	1120	26960	0	80	160	480	1200	30080	1354727	76394	193532	71301	4843404	4873484	2	5	2	2	2	6	3	21	2	8513	3	1068	7	43	98	0	64	355	56	14	64	1	46	0	1268	8	0	8	79	0	73	8	5	0	75	41	482	48	0	96	0	0	44	66	6	23	0	830	192	51	6	12	5	11	2	2	45	3	81	4	42	4	41	14	234	12	40	1	3	1893	6	1052631579	76	21	24	7	2	12	1	16	2	1	0	5	1	15	42	4	5	47	0	4	20	27	5	78	1	4	19	2	20	1	1	12	2	28	4	1	19	13	5	20
NAPE14	993	1600	2880	80	160	2240	480	1520	9200	198625	81487	132417	50929	560224	569424	2	9	6	6	7	5	3	4	4459	6	981	6	26	0	15	253	97	18	0	0	924	5	3	2	10	0	119	803	0	0	15	0	0	28	12	58	0	0	0	0	0	0	30	87	1	34	7	931	117	49	9	9	4	13	2	3	45	5	107	1	61	2	58	16	198	16	48	3	5	9465	5	984591071	94	30	68	22	8	14	1	76	6	5	1	4	1	23	42	0	0	52	2	1	18	27	4	107	0	5	10	8	24	2	4	16	1	9	2	8	12	19	7	14
NAPE22	972	1200	78720	160	0	240	640	0	125360	1115358	91673	45837	50930	1578817	1704177	2	3	3	3	8	6	2	14	7	9284	3	819	6	53	97	0	53	400	14	64	1	46	0	1268	8	0	8	79	0	73	8	5	0	75	41	482	48	0	0	0	0	44	66	6	23	0	0	863	153	54	11	3	10	12	0	2	53	2	95	2	64	2	59	28	195	11	36	5	2	1	8	0	5	9	28	15	35	61	13	57	1	2	0	7	4	24	50	0	4	49	1	1	11	27	4	81	0	6	13	1	25	2	0	20	6	27	2	1	9	12	8	21
NAPE24	977	2400	1600	800	0	400	1840	160	7200	101859	40744	76394	10186	300484	307684	3	2	9	5	8	5	2	3	5119	9	1047	7	27	82	0	17	234	92	18	0	0	924	5	3	2	10	0	119	803	0	0	15	0	0	28	12	58	0	0	0	0	0	2	47	8	64	65	967	77	60	9	9	5	6	1	5	66	2	92	2	44	3	43	12	176	9	48	1	0	4705	6	1421658072	7	33	26	5	5	13	1	28	11	2	2	0	7	15	36	3	2	74	2	1	22	22	3	96	0	9	16	1	36	5	3	11	2	15	1	2	12	19	5	24
NAPE32	962	880	7920	80	80	160	1440	80	10800	458366	112045	56023	56023	692642	703442	4	7	3	4	6	5	13	5	8178	1	1143	6	34	59	355	56	14	64	1	46	0	1268	8	0	8	79	0	73	8	5	0	75	41	482	48	0	0	21	96	44	66	6	23	0	0	0	3	927	153	36	15	5	4	9	2	4	46	5	81	4	48	4	42	13	241	17	39	5	1	1801	6	0	22	24	21	3	0	92	8	49	10	2	11	5	7	0	36	1	1	70	5	2	10	20	5	87	1	8	18	1	14	0	1	7	4	18	3	9	10	7	1	16
