taxon	Bact_total	Lumbricina	Formicidae	Coleoptera	Araneae	Diplopoda	Larvas	Enchytraeidae	Macrofauna	Oribatida	Mesostigmata	Prostigmata	Collembola	Mesofauna	Fauna Total	COT	COPg	COM	Nt	Pt	CHt	Temp - suelo (?C)	Tem -aire (?C)	Porosidad (%)	HT	PT	PF	Vmax	nifH_(qPCR)	Acaulospora alpina	A. bireticulata	A. delicata	A. denticulata	A. excavata	A. laevis	A. mellea	A. rehmii	A. scrobiculata	A. spinosa	Ambispora leptoticha	Archaeospora trappei	Claroideoglomus claroideum	C. etunicatum	C. luteum	Entrophospora infrequens	Septoglomus constrictum	Funneliformis coronatum	F. geosporus	F. mosseae	Gigaspora decipiens	G. gigantea	G. margarita	G. rosea	G. aggregatum	G. microagregatum	Glomus sp. 1	Glomus sp. 2	Glomus sp. 3	Pacispora boliviana	Pacispora sp. 1	Rhizophagus clarus 	111: 20:4 w6	unclassified	MC18	Bradyrhizobium	CandidatusSolibacter	Methylobacterium	Phenylobacterium	CandidatusEntotheonella	Acidisoma	A17	A.Azucar	A.ProteinasyAA	Aerobios	AerobiosObligados	Anaerobios	AnaerobiosFacultativos	FdCPolypeptona	Fermentadores	H.Aerobicos	M.AGrasosdeCCorta	O.Metano	O.Sulfuro	QuimioHeterotrofos	COT	pH	Nt	Pe	Humedad_Vol_aut	Temp_suelo	Temp_aire	Taire-Tsuelo	Humedad_gravimetrica	Densidad	Porosidad	Acidicapsa	Acidobacterium	Aliidongia	Amphritea	Anaeroglobus	Arenimicrobium	Brevitalea	Calditerricola	Cavicella	Chthoniobacter	Cryptanaerobacter	Desulfospira	Gemmata	Gemmatimonas	Gemmatirosa	Heliobacterium	Limisphaera	Luteimonas	Luteitalea	Lysobacter	Modestobacter	Paludibaculum	Pelobacter	Prevotella	Reyranella	Rhodoplanes	Solirubrobacter	Sphingomonas	Tellurimicrobium	Thermodesulfobium	Thermovenabulum	Vicinamibacter
BPLL32	929	400	80	0	0	80	0	240	800	203718	56023	30558	25465	417623	418423	2	0	0	1	6	6	87	501	269	1	38	3	24	82	406	35	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	33	7	0	1	31	86	67	1	0	913	79	36	27	1	12	2	4	4	58	0	96	0	59	0	58	20	183	7	38	1	3	83	5	0	6	12	19	29	34	14	1	56	7	6	0	0	7	22	26	5	0	54	3	5	14	45	0	44	3	2	5	6	70	0	0	10	3	19	4	2	1	14	8	52
BPLL34	1017	400	160	240	480	160	0	720	2160	320856	106952	213904	106952	870894	873054	2	3	3	4	7	5	2	128	4007	7	889	5	26	32	374	6	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	1	38	45	62	1	92	0	0	916	95	40	14	9	10	0	10	9	40	0	111	0	60	1	60	6	185	3	50	0	5	2	5	0	198	22	23	26	2	16	1	58	14	6	0	0	5	19	26	2	1	37	7	7	6	53	0	39	3	1	5	1	90	0	0	7	9	19	5	4	9	20	3	93
BPPE12	958	720	0	0	0	0	160	880	1760	25465	15279	5093	5093	61116	62876	1	7	2	3	3	6	1	22	2	5379	2	247	4	38	3	0	3	311	11	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	47	0	65	0	84	27	6	23	964	87	32	8	3	6	5	7	4	40	5	103	1	56	1	55	5	185	15	48	1	3	3355	6	1190779014	72	34	6	25	5	54	15	4	7	10	0	1	11	22	21	4	2	58	7	0	6	62	2	50	3	2	12	8	47	9	0	6	4	14	2	5	6	6	6	33
BPPE14	1001	1040	279040	160	240	2480	560	240	292240	529666	91673	61115	10186	713012	1005252	1	6	2	3	2	5	1	3	3177	7	594	5	24	0	1	152	38	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	89	54	37	12	64	0	1	0	897	132	37	28	7	5	4	10	8	43	7	93	1	51	3	51	12	180	19	40	0	7	2193	4	176812749	82	3	3	13	5	65	23	33	8	10	0	2	5	15	23	5	1	59	3	3	16	44	3	62	1	3	11	8	66	4	1	3	7	13	3	7	4	8	4	30
BPPE22	976	880	0	160	160	80	0	1280	2560	45837	20372	20372	81487	188439	190999	1	5	2	2	6	5	43	9	5385	7	307	7	36	66	0	32	323	81	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	0	0	65	0	84	27	6	61	0	952	64	41	9	8	9	4	3	5	45	7	87	2	41	5	39	14	160	17	45	2	1	2496	5	0	75	26	11	1	33	20	1	47	15	9	0	0	4	21	39	3	3	60	8	4	14	35	2	46	1	2	17	1	45	2	3	4	4	19	0	3	21	23	14	42
BPPE24	978	1440	320	0	80	1040	640	1200	4800	40744	5093	25465	15279	96766	101566	1	3	4	4	6	5	2	23	4475	5	646	8	31	0	1	336	51	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	89	54	37	12	64	0	0	22	975	59	29	15	7	3	1	7	1	52	5	108	0	53	1	52	10	174	6	55	1	6	2237	5	0	134	85	24	25	2	16	1	55	5	10	0	2	4	12	24	5	1	70	8	3	11	47	0	44	1	5	13	4	60	2	0	4	4	16	0	12	17	25	9	65
BPPE32	991	640	960	0	0	0	240	880	2720	10186	15279	20372	20372	71301	74021	2	0	0	1	6	4	9	2	5658	4	400	3	33	1	0	41	317	46	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	0	0	65	0	84	27	6	61	51	949	91	25	14	9	6	3	8	4	60	4	98	1	48	1	47	10	194	14	51	1	2	2	3	2016574586	87	37	28	8	0	82	13	44	14	10	1	2	14	24	20	4	1	50	3	3	16	46	3	84	1	5	11	6	43	1	1	3	7	19	4	8	7	17	9	26
BPPE34	985	1120	720	0	0	160	80	11040	13120	1018589	50929	61115	71301	1313980	1327100	2	4	1	3	5	6	13	6	559	23	2	25	3	24	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	0	0	89	12	64	0	1	22	0	0	2	956	77	32	10	5	3	6	12	3	58	2	89	3	47	4	46	19	192	8	42	1	4	1	6	1690129768	66	26	6	2	30	29	37	54	10	3	1	3	9	9	24	4	1	59	1	2	16	48	1	113	0	5	13	9	35	2	3	7	4	16	4	7	6	17	3	32
MPF12	20	0	80	80	0	0	640	160	960	20372	50930	20372	5093	96766	97726	0	9	2	3	5	6	1	15	9	3247	5	173	26	0	29	330	16	14	85	1	54	6	15	85	1	12	8	0	0	18	95	0	521	82	1242	33	0	0	22	0	1	54	2	34	0	0	1	979	79	13	10	9	4	5	4	2	51	4	75	0	46	0	44	11	192	12	31	2	3	2125	7	1844444444	43	4	6	18	2	67	15	48	6	15	3	1	2	30	27	5	0	115	4	8	13	47	2	85	1	1	12	3	59	4	0	0	3	17	1	15	2	7	14	29
MPF14	26	0	0	0	0	80	400	1520	2000	5093	20372	40744	0	66208	68208	1	1	1	3	7	6	1	7	1	271	2	10	8	0	5	526	98	10	86	1	89	0	94	68	94	14	64	0	0	13	69	0	537	82	1262	16	0	47	0	0	0	2	36	10	64	0	4	972	75	26	6	9	8	2	3	4	58	2	94	2	51	3	50	18	168	17	43	1	0	3545	4	1342541436	20	38	7	1	4	35	23	56	8	6	3	6	2	23	28	4	3	82	6	14	13	38	1	79	1	9	14	6	54	5	3	0	11	22	5	13	1	18	9	26
